SEParticipantId,SE_Condition,SE_Placement,SE_LabelType,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
3.0,CCTEx,Concurrent,Explicit,90.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0
3.0,CCTIm,Concurrent,Implicit,90.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0
4.0,PEEx,PostExposure,Explicit,90.0,90.0,80.0,70.0,50.0,50.0,40.0,20.0,10.0,10.0
4.0,PEIm,PostExposure,Implicit,90.0,90.0,80.0,80.0,60.0,50.0,40.0,40.0,30.0,30.0
4.0,PEM,PostExposure,Mix,100.0,100.0,80.0,80.0,70.0,70.0,60.0,60.0,60.0,50.0
4.0,Control,Control,Control,100.0,90.0,80.0,80.0,70.0,60.0,60.0,50.0,50.0,40.0
4.0,CCTEx,Concurrent,Explicit,100.0,100.0,90.0,80.0,70.0,60.0,60.0,60.0,50.0,50.0
4.0,CCTIm,Concurrent,Implicit,100.0,90.0,80.0,70.0,70.0,60.0,60.0,50.0,50.0,40.0
4.0,CCTM,Concurrent,Mix,100.0,100.0,90.0,80.0,80.0,70.0,70.0,70.0,60.0,50.0
5.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,100.0,80.0,70.0,60.0,20.0,10.0,0.0
5.0,PEM,PostExposure,Mix,100.0,100.0,100.0,60.0,50.0,40.0,30.0,20.0,10.0,0.0
5.0,Control,Control,Control,100.0,100.0,100.0,100.0,100.0,80.0,70.0,70.0,40.0,30.0
5.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,100.0,100.0,100.0,90.0,80.0,80.0,70.0
5.0,CCTIm,Concurrent,Implicit,100.0,100.0,90.0,80.0,80.0,70.0,60.0,50.0,40.0,20.0
5.0,CCTM,Concurrent,Mix,100.0,100.0,100.0,100.0,100.0,100.0,80.0,70.0,60.0,50.0
5.0,PEEx,PostExposure,Explicit,100.0,100.0,100.0,100.0,100.0,80.0,70.0,40.0,20.0,10.0
6.0,PEM,PostExposure,Mix,100.0,100.0,100.0,100.0,90.0,80.0,70.0,30.0,10.0,0.0
6.0,Control,Control,Control,100.0,100.0,100.0,100.0,80.0,70.0,60.0,50.0,30.0,10.0
6.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,80.0,70.0,60.0,50.0,40.0,30.0,20.0
6.0,CCTIm,Concurrent,Implicit,100.0,90.0,90.0,80.0,60.0,50.0,40.0,30.0,20.0,10.0
6.0,CCTM,Concurrent,Mix,90.0,80.0,70.0,60.0,60.0,50.0,40.0,30.0,20.0,20.0
6.0,PEEx,PostExposure,Explicit,100.0,90.0,90.0,80.0,80.0,70.0,60.0,60.0,60.0,30.0
6.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,90.0,80.0,70.0,60.0,60.0,30.0,20.0
7.0,Control,Control,Control,100.0,90.0,90.0,80.0,80.0,80.0,60.0,20.0,20.0,10.0
7.0,CCTEx,Concurrent,Explicit,80.0,70.0,70.0,60.0,40.0,30.0,30.0,20.0,10.0,10.0
7.0,CCTIm,Concurrent,Implicit,90.0,90.0,90.0,80.0,80.0,80.0,80.0,60.0,40.0,30.0
